run_name,timestamp,model_type,n_patches,points_per_patch,freeze_encoder,drop_path_rate,pointcam_checkpoint_path,lr,weight_decay,gamma,batch_size,epochs_requested,epochs_completed,best_train_loss,final_train_loss,final_train_accuracy1,final_train_accuracy2,final_val_loss,final_val_accuracy1,final_val_accuracy2,total_training_time_sec,checkpoint_saved
run046_weight_decay_0.2,2026-09-07T18:39:29,lane_following,64,32,False,0.1,,0.0001,0.2,0.8,70,10,10,0.000507379030430087,0.0005570776824233375,"tensor(0.9138, device='cuda:0')","tensor(0.8686, device='cuda:0')",0.0005260955180307167,"tensor(0.9912, device='cuda:0')","tensor(0.9141, device='cuda:0')",228.9,pointcam_shuttle_lane_following.pth
run047_lr_1e-3,2026-09-07T18:43:28,lane_following,64,32,False,0.1,,0.001,0.05,0.8,70,10,10,0.0005810207553437968,0.0006239269276825981,"tensor(0.9174, device='cuda:0')","tensor(0.8647, device='cuda:0')",0.0007423802346084559,"tensor(0.9925, device='cuda:0')","tensor(0.9210, device='cuda:0')",231.0,pointcam_shuttle_lane_following.pth
run048_lr_1e-3,2026-09-07T18:47:26,lane_following,64,32,False,0.1,,0.001,0.05,0.8,70,10,10,0.0005987788054015797,0.0005987788054015797,"tensor(0.9168, device='cuda:0')","tensor(0.8708, device='cuda:0')",0.0005083884915401196,"tensor(0.9944, device='cuda:0')","tensor(0.9179, device='cuda:0')",230.6,pointcam_shuttle_lane_following.pth
run049_lr_1e-3,2026-09-07T18:51:24,lane_following,64,32,False,0.1,,0.001,0.05,0.8,70,10,10,0.0006148941828915273,0.0006148941828915273,"tensor(0.9153, device='cuda:0')","tensor(0.8647, device='cuda:0')",0.0006686690062004197,"tensor(0.9931, device='cuda:0')","tensor(0.9241, device='cuda:0')",229.3,pointcam_shuttle_lane_following.pth
run050_lr_1e-3,2026-09-07T18:55:23,lane_following,64,32,False,0.1,,0.001,0.05,0.8,70,10,10,0.000594249088623752,0.0006472947419642805,"tensor(0.9163, device='cuda:0')","tensor(0.8636, device='cuda:0')",0.0007059527345025054,"tensor(0.9900, device='cuda:0')","tensor(0.9310, device='cuda:0')",231.1,pointcam_shuttle_lane_following.pth
run051_lr_1e-3,2026-09-07T18:59:20,lane_following,64,32,False,0.1,,0.001,0.05,0.8,70,10,10,0.0006245300950469932,0.0006245300950469932,"tensor(0.9180, device='cuda:0')","tensor(0.8635, device='cuda:0')",0.0006693237954546291,"tensor(0.9060, device='cuda:0')","tensor(0.9185, device='cuda:0')",228.5,pointcam_shuttle_lane_following.pth
run052_lr_1e-5,2026-09-07T19:03:21,lane_following,64,32,False,0.1,,1e-05,0.05,0.8,70,10,10,0.0004905949434758092,0.0004905949434758092,"tensor(0.9152, device='cuda:0')","tensor(0.8689, device='cuda:0')",0.0005659888810872285,"tensor(0.9850, device='cuda:0')","tensor(0.9172, device='cuda:0')",233.4,pointcam_shuttle_lane_following.pth
run053_lr_1e-5,2026-09-07T19:07:20,lane_following,64,32,False,0.1,,1e-05,0.05,0.8,70,10,10,0.0005191308604636561,0.0005191308604636561,"tensor(0.9139, device='cuda:0')","tensor(0.8691, device='cuda:0')",0.0006630496416813154,"tensor(0.9806, device='cuda:0')","tensor(0.9166, device='cuda:0')",230.9,pointcam_shuttle_lane_following.pth
run054_lr_1e-5,2026-09-07T19:11:19,lane_following,64,32,False,0.1,,1e-05,0.05,0.8,70,10,10,0.0004903851145579721,0.0004903851145579721,"tensor(0.9188, device='cuda:0')","tensor(0.8696, device='cuda:0')",0.0006069422293699647,"tensor(0.9812, device='cuda:0')","tensor(0.9103, device='cuda:0')",231.0,pointcam_shuttle_lane_following.pth
run055_lr_1e-5,2026-09-07T19:15:18,lane_following,64,32,False,0.1,,1e-05,0.05,0.8,70,10,10,0.0005039973796198857,0.0005039973796198857,"tensor(0.9161, device='cuda:0')","tensor(0.8707, device='cuda:0')",0.0005730282491931347,"tensor(0.9831, device='cuda:0')","tensor(0.9204, device='cuda:0')",231.0,pointcam_shuttle_lane_following.pth
