run_name,repeat,timestamp,returncode,log_file,n_patches,points_per_patch,freeze_encoder,drop_path_rate,lr,weight_decay,gamma,batch_size
run010_lr_1e-3_rep1,1,2026-09-07T14:35:16,1,sweep_logs_bayliss/run010_lr_1e-3_rep1.log,64,32,False,0.1,0.001,0.05,0.8,70
run010_lr_1e-3_rep2,2,2026-09-07T14:35:17,1,sweep_logs_bayliss/run010_lr_1e-3_rep2.log,64,32,False,0.1,0.001,0.05,0.8,70
run010_lr_1e-3_rep3,3,2026-09-07T14:35:18,1,sweep_logs_bayliss/run010_lr_1e-3_rep3.log,64,32,False,0.1,0.001,0.05,0.8,70
run010_lr_1e-3_rep4,4,2026-09-07T14:35:19,1,sweep_logs_bayliss/run010_lr_1e-3_rep4.log,64,32,False,0.1,0.001,0.05,0.8,70
run010_lr_1e-3_rep5,5,2026-09-07T14:35:20,1,sweep_logs_bayliss/run010_lr_1e-3_rep5.log,64,32,False,0.1,0.001,0.05,0.8,70
run011_lr_1e-5_rep1,1,2026-09-07T14:35:21,1,sweep_logs_bayliss/run011_lr_1e-5_rep1.log,64,32,False,0.1,1e-05,0.05,0.8,70
run011_lr_1e-5_rep2,2,2026-09-07T14:35:21,1,sweep_logs_bayliss/run011_lr_1e-5_rep2.log,64,32,False,0.1,1e-05,0.05,0.8,70
run011_lr_1e-5_rep3,3,2026-09-07T14:35:22,1,sweep_logs_bayliss/run011_lr_1e-5_rep3.log,64,32,False,0.1,1e-05,0.05,0.8,70
run011_lr_1e-5_rep4,4,2026-09-07T14:35:23,1,sweep_logs_bayliss/run011_lr_1e-5_rep4.log,64,32,False,0.1,1e-05,0.05,0.8,70
run011_lr_1e-5_rep5,5,2026-09-07T14:35:24,1,sweep_logs_bayliss/run011_lr_1e-5_rep5.log,64,32,False,0.1,1e-05,0.05,0.8,70
run012_gamma_0.3_very_aggressive_rep1,1,2026-09-07T14:35:25,1,sweep_logs_bayliss/run012_gamma_0.3_very_aggressive_rep1.log,64,32,False,0.1,0.0001,0.05,0.3,70
run012_gamma_0.3_very_aggressive_rep2,2,2026-09-07T14:35:26,1,sweep_logs_bayliss/run012_gamma_0.3_very_aggressive_rep2.log,64,32,False,0.1,0.0001,0.05,0.3,70
run012_gamma_0.3_very_aggressive_rep3,3,2026-09-07T14:35:27,1,sweep_logs_bayliss/run012_gamma_0.3_very_aggressive_rep3.log,64,32,False,0.1,0.0001,0.05,0.3,70
run012_gamma_0.3_very_aggressive_rep4,4,2026-09-07T14:35:28,1,sweep_logs_bayliss/run012_gamma_0.3_very_aggressive_rep4.log,64,32,False,0.1,0.0001,0.05,0.3,70
run012_gamma_0.3_very_aggressive_rep5,5,2026-09-07T14:35:29,1,sweep_logs_bayliss/run012_gamma_0.3_very_aggressive_rep5.log,64,32,False,0.1,0.0001,0.05,0.3,70
run013_gamma_0.5_aggressive_rep1,1,2026-09-07T14:35:30,1,sweep_logs_bayliss/run013_gamma_0.5_aggressive_rep1.log,64,32,False,0.1,0.0001,0.05,0.5,70
run013_gamma_0.5_aggressive_rep2,2,2026-09-07T14:35:30,1,sweep_logs_bayliss/run013_gamma_0.5_aggressive_rep2.log,64,32,False,0.1,0.0001,0.05,0.5,70
run013_gamma_0.5_aggressive_rep3,3,2026-09-07T14:35:31,1,sweep_logs_bayliss/run013_gamma_0.5_aggressive_rep3.log,64,32,False,0.1,0.0001,0.05,0.5,70
run013_gamma_0.5_aggressive_rep4,4,2026-09-07T14:35:32,1,sweep_logs_bayliss/run013_gamma_0.5_aggressive_rep4.log,64,32,False,0.1,0.0001,0.05,0.5,70
run013_gamma_0.5_aggressive_rep5,5,2026-09-07T14:35:33,1,sweep_logs_bayliss/run013_gamma_0.5_aggressive_rep5.log,64,32,False,0.1,0.0001,0.05,0.5,70
run014_gamma_0.6_rep1,1,2026-09-07T14:35:34,1,sweep_logs_bayliss/run014_gamma_0.6_rep1.log,64,32,False,0.1,0.0001,0.05,0.6,70
run014_gamma_0.6_rep2,2,2026-09-07T14:35:35,1,sweep_logs_bayliss/run014_gamma_0.6_rep2.log,64,32,False,0.1,0.0001,0.05,0.6,70
run014_gamma_0.6_rep3,3,2026-09-07T14:35:36,1,sweep_logs_bayliss/run014_gamma_0.6_rep3.log,64,32,False,0.1,0.0001,0.05,0.6,70
run014_gamma_0.6_rep4,4,2026-09-07T14:35:37,1,sweep_logs_bayliss/run014_gamma_0.6_rep4.log,64,32,False,0.1,0.0001,0.05,0.6,70
run014_gamma_0.6_rep5,5,2026-09-07T14:35:38,1,sweep_logs_bayliss/run014_gamma_0.6_rep5.log,64,32,False,0.1,0.0001,0.05,0.6,70
run015_gamma_0.7_rep1,1,2026-09-07T14:35:39,1,sweep_logs_bayliss/run015_gamma_0.7_rep1.log,64,32,False,0.1,0.0001,0.05,0.7,70
run015_gamma_0.7_rep2,2,2026-09-07T14:35:39,1,sweep_logs_bayliss/run015_gamma_0.7_rep2.log,64,32,False,0.1,0.0001,0.05,0.7,70
run015_gamma_0.7_rep3,3,2026-09-07T14:35:40,1,sweep_logs_bayliss/run015_gamma_0.7_rep3.log,64,32,False,0.1,0.0001,0.05,0.7,70
run015_gamma_0.7_rep4,4,2026-09-07T14:35:41,1,sweep_logs_bayliss/run015_gamma_0.7_rep4.log,64,32,False,0.1,0.0001,0.05,0.7,70
run015_gamma_0.7_rep5,5,2026-09-07T14:35:42,1,sweep_logs_bayliss/run015_gamma_0.7_rep5.log,64,32,False,0.1,0.0001,0.05,0.7,70
run016_gamma_0.9_rep1,1,2026-09-07T14:35:43,1,sweep_logs_bayliss/run016_gamma_0.9_rep1.log,64,32,False,0.1,0.0001,0.05,0.9,70
run016_gamma_0.9_rep2,2,2026-09-07T14:35:44,1,sweep_logs_bayliss/run016_gamma_0.9_rep2.log,64,32,False,0.1,0.0001,0.05,0.9,70
run016_gamma_0.9_rep3,3,2026-09-07T14:35:45,1,sweep_logs_bayliss/run016_gamma_0.9_rep3.log,64,32,False,0.1,0.0001,0.05,0.9,70
run016_gamma_0.9_rep4,4,2026-09-07T14:35:46,1,sweep_logs_bayliss/run016_gamma_0.9_rep4.log,64,32,False,0.1,0.0001,0.05,0.9,70
run016_gamma_0.9_rep5,5,2026-09-07T14:35:47,1,sweep_logs_bayliss/run016_gamma_0.9_rep5.log,64,32,False,0.1,0.0001,0.05,0.9,70
run017_gamma_0.95_gentle_rep1,1,2026-09-07T14:35:48,1,sweep_logs_bayliss/run017_gamma_0.95_gentle_rep1.log,64,32,False,0.1,0.0001,0.05,0.95,70
run017_gamma_0.95_gentle_rep2,2,2026-09-07T14:35:48,1,sweep_logs_bayliss/run017_gamma_0.95_gentle_rep2.log,64,32,False,0.1,0.0001,0.05,0.95,70
run017_gamma_0.95_gentle_rep3,3,2026-09-07T14:35:49,1,sweep_logs_bayliss/run017_gamma_0.95_gentle_rep3.log,64,32,False,0.1,0.0001,0.05,0.95,70
run017_gamma_0.95_gentle_rep4,4,2026-09-07T14:35:50,1,sweep_logs_bayliss/run017_gamma_0.95_gentle_rep4.log,64,32,False,0.1,0.0001,0.05,0.95,70
run017_gamma_0.95_gentle_rep5,5,2026-09-07T14:35:51,1,sweep_logs_bayliss/run017_gamma_0.95_gentle_rep5.log,64,32,False,0.1,0.0001,0.05,0.95,70
run018_gamma_0.99_very_gentle_rep1,1,2026-09-07T14:35:52,1,sweep_logs_bayliss/run018_gamma_0.99_very_gentle_rep1.log,64,32,False,0.1,0.0001,0.05,0.99,70
run018_gamma_0.99_very_gentle_rep2,2,2026-09-07T14:35:53,1,sweep_logs_bayliss/run018_gamma_0.99_very_gentle_rep2.log,64,32,False,0.1,0.0001,0.05,0.99,70
run018_gamma_0.99_very_gentle_rep3,3,2026-09-07T14:35:54,1,sweep_logs_bayliss/run018_gamma_0.99_very_gentle_rep3.log,64,32,False,0.1,0.0001,0.05,0.99,70
run018_gamma_0.99_very_gentle_rep4,4,2026-09-07T14:35:55,1,sweep_logs_bayliss/run018_gamma_0.99_very_gentle_rep4.log,64,32,False,0.1,0.0001,0.05,0.99,70
run018_gamma_0.99_very_gentle_rep5,5,2026-09-07T14:35:56,1,sweep_logs_bayliss/run018_gamma_0.99_very_gentle_rep5.log,64,32,False,0.1,0.0001,0.05,0.99,70
run019_batch_size_32_rep1,1,2026-09-07T14:35:57,1,sweep_logs_bayliss/run019_batch_size_32_rep1.log,64,32,False,0.1,0.0001,0.05,0.8,32
run019_batch_size_32_rep2,2,2026-09-07T14:35:57,1,sweep_logs_bayliss/run019_batch_size_32_rep2.log,64,32,False,0.1,0.0001,0.05,0.8,32
run019_batch_size_32_rep3,3,2026-09-07T14:35:58,1,sweep_logs_bayliss/run019_batch_size_32_rep3.log,64,32,False,0.1,0.0001,0.05,0.8,32
run019_batch_size_32_rep4,4,2026-09-07T14:35:59,1,sweep_logs_bayliss/run019_batch_size_32_rep4.log,64,32,False,0.1,0.0001,0.05,0.8,32
run019_batch_size_32_rep5,5,2026-09-07T14:36:00,1,sweep_logs_bayliss/run019_batch_size_32_rep5.log,64,32,False,0.1,0.0001,0.05,0.8,32
run020_batch_size_128_rep1,1,2026-09-07T14:36:01,1,sweep_logs_bayliss/run020_batch_size_128_rep1.log,64,32,False,0.1,0.0001,0.05,0.8,128
run020_batch_size_128_rep2,2,2026-09-07T14:36:02,1,sweep_logs_bayliss/run020_batch_size_128_rep2.log,64,32,False,0.1,0.0001,0.05,0.8,128
run020_batch_size_128_rep3,3,2026-09-07T14:36:03,1,sweep_logs_bayliss/run020_batch_size_128_rep3.log,64,32,False,0.1,0.0001,0.05,0.8,128
run020_batch_size_128_rep4,4,2026-09-07T14:36:04,1,sweep_logs_bayliss/run020_batch_size_128_rep4.log,64,32,False,0.1,0.0001,0.05,0.8,128
run020_batch_size_128_rep5,5,2026-09-07T14:36:05,1,sweep_logs_bayliss/run020_batch_size_128_rep5.log,64,32,False,0.1,0.0001,0.05,0.8,128
run021_combined_guess_rep1,1,2026-09-07T14:36:06,1,sweep_logs_bayliss/run021_combined_guess_rep1.log,64,32,False,0.1,0.0001,0.05,0.8,70
run021_combined_guess_rep2,2,2026-09-07T14:36:06,1,sweep_logs_bayliss/run021_combined_guess_rep2.log,64,32,False,0.1,0.0001,0.05,0.8,70
run021_combined_guess_rep3,3,2026-09-07T14:36:07,1,sweep_logs_bayliss/run021_combined_guess_rep3.log,64,32,False,0.1,0.0001,0.05,0.8,70
run021_combined_guess_rep4,4,2026-09-07T14:36:08,1,sweep_logs_bayliss/run021_combined_guess_rep4.log,64,32,False,0.1,0.0001,0.05,0.8,70
run021_combined_guess_rep5,5,2026-09-07T14:36:09,1,sweep_logs_bayliss/run021_combined_guess_rep5.log,64,32,False,0.1,0.0001,0.05,0.8,70
run001_baseline_rep1,1,2026-09-07T14:40:27,2,sweep_logs_bayliss/run001_baseline_rep1.log,64,32,False,0.1,0.0001,0.05,0.8,70
run001_baseline_rep1,1,2026-09-07T14:42:18,2,sweep_logs_bayliss/run001_baseline_rep1.log,64,32,False,0.1,0.0001,0.05,0.8,70
run001_baseline_rep2,2,2026-09-07T14:42:18,2,sweep_logs_bayliss/run001_baseline_rep2.log,64,32,False,0.1,0.0001,0.05,0.8,70
run001_baseline_rep3,3,2026-09-07T14:42:18,2,sweep_logs_bayliss/run001_baseline_rep3.log,64,32,False,0.1,0.0001,0.05,0.8,70
run001_baseline_rep4,4,2026-09-07T14:42:18,2,sweep_logs_bayliss/run001_baseline_rep4.log,64,32,False,0.1,0.0001,0.05,0.8,70
run001_baseline_rep5,5,2026-09-07T14:42:18,2,sweep_logs_bayliss/run001_baseline_rep5.log,64,32,False,0.1,0.0001,0.05,0.8,70
run002_freeze_encoder_rep1,1,2026-09-07T14:42:18,2,sweep_logs_bayliss/run002_freeze_encoder_rep1.log,64,32,True,0.1,0.0001,0.05,0.8,70
run002_freeze_encoder_rep2,2,2026-09-07T14:42:18,2,sweep_logs_bayliss/run002_freeze_encoder_rep2.log,64,32,True,0.1,0.0001,0.05,0.8,70
run002_freeze_encoder_rep3,3,2026-09-07T14:42:18,2,sweep_logs_bayliss/run002_freeze_encoder_rep3.log,64,32,True,0.1,0.0001,0.05,0.8,70
run002_freeze_encoder_rep4,4,2026-09-07T14:42:18,2,sweep_logs_bayliss/run002_freeze_encoder_rep4.log,64,32,True,0.1,0.0001,0.05,0.8,70
run002_freeze_encoder_rep5,5,2026-09-07T14:42:18,2,sweep_logs_bayliss/run002_freeze_encoder_rep5.log,64,32,True,0.1,0.0001,0.05,0.8,70
run003_patches_undersampled_rep1,1,2026-09-07T14:42:18,2,sweep_logs_bayliss/run003_patches_undersampled_rep1.log,32,32,False,0.1,0.0001,0.05,0.8,70
run003_patches_undersampled_rep2,2,2026-09-07T14:42:19,2,sweep_logs_bayliss/run003_patches_undersampled_rep2.log,32,32,False,0.1,0.0001,0.05,0.8,70
run003_patches_undersampled_rep3,3,2026-09-07T14:42:19,2,sweep_logs_bayliss/run003_patches_undersampled_rep3.log,32,32,False,0.1,0.0001,0.05,0.8,70
run003_patches_undersampled_rep4,4,2026-09-07T14:42:19,2,sweep_logs_bayliss/run003_patches_undersampled_rep4.log,32,32,False,0.1,0.0001,0.05,0.8,70
run003_patches_undersampled_rep5,5,2026-09-07T14:42:19,2,sweep_logs_bayliss/run003_patches_undersampled_rep5.log,32,32,False,0.1,0.0001,0.05,0.8,70
run004_patches_oversampled_rep1,1,2026-09-07T14:42:19,2,sweep_logs_bayliss/run004_patches_oversampled_rep1.log,128,32,False,0.1,0.0001,0.05,0.8,70
run004_patches_oversampled_rep2,2,2026-09-07T14:42:19,2,sweep_logs_bayliss/run004_patches_oversampled_rep2.log,128,32,False,0.1,0.0001,0.05,0.8,70
run004_patches_oversampled_rep3,3,2026-09-07T14:42:19,2,sweep_logs_bayliss/run004_patches_oversampled_rep3.log,128,32,False,0.1,0.0001,0.05,0.8,70
run004_patches_oversampled_rep4,4,2026-09-07T14:42:19,2,sweep_logs_bayliss/run004_patches_oversampled_rep4.log,128,32,False,0.1,0.0001,0.05,0.8,70
run004_patches_oversampled_rep5,5,2026-09-07T14:42:19,2,sweep_logs_bayliss/run004_patches_oversampled_rep5.log,128,32,False,0.1,0.0001,0.05,0.8,70
run005_patches_fewer_larger_rep1,1,2026-09-07T14:42:19,2,sweep_logs_bayliss/run005_patches_fewer_larger_rep1.log,32,64,False,0.1,0.0001,0.05,0.8,70
run005_patches_fewer_larger_rep2,2,2026-09-07T14:42:19,2,sweep_logs_bayliss/run005_patches_fewer_larger_rep2.log,32,64,False,0.1,0.0001,0.05,0.8,70
