run_name,timestamp,returncode,log_file,num_group,group_size,freeze_encoder,drop_path,lr,weight_decay,gamma,batch_size,trans_dim,depth,cls_dim,encoder_dims
run012_gamma_0.3_very_aggressive,2026-09-12T11:41:32,1,sweep_logs_mamba/run012_gamma_0.3_very_aggressive.log,64,32,False,0.1,0.0001,0.05,0.3,70,512,12,1000,512
run013_gamma_0.5_aggressive,2026-09-12T11:41:34,1,sweep_logs_mamba/run013_gamma_0.5_aggressive.log,64,32,False,0.1,0.0001,0.05,0.5,70,512,12,1000,512
run014_gamma_0.6,2026-09-12T11:41:35,1,sweep_logs_mamba/run014_gamma_0.6.log,64,32,False,0.1,0.0001,0.05,0.6,70,512,12,1000,512
run015_gamma_0.7,2026-09-12T11:41:36,1,sweep_logs_mamba/run015_gamma_0.7.log,64,32,False,0.1,0.0001,0.05,0.7,70,512,12,1000,512
run016_gamma_0.9,2026-09-12T11:41:38,1,sweep_logs_mamba/run016_gamma_0.9.log,64,32,False,0.1,0.0001,0.05,0.9,70,512,12,1000,512
run017_gamma_0.95_gentle,2026-09-12T11:41:39,1,sweep_logs_mamba/run017_gamma_0.95_gentle.log,64,32,False,0.1,0.0001,0.05,0.95,70,512,12,1000,512
run018_gamma_0.99_very_gentle,2026-09-12T11:41:40,1,sweep_logs_mamba/run018_gamma_0.99_very_gentle.log,64,32,False,0.1,0.0001,0.05,0.99,70,512,12,1000,512
run019_batch_size_32,2026-09-12T11:41:41,1,sweep_logs_mamba/run019_batch_size_32.log,64,32,False,0.1,0.0001,0.05,0.8,32,512,12,1000,512
run020_batch_size_128,2026-09-12T11:41:43,1,sweep_logs_mamba/run020_batch_size_128.log,64,32,False,0.1,0.0001,0.05,0.8,128,512,12,1000,512
run021_combined_guess,2026-09-12T11:41:44,1,sweep_logs_mamba/run021_combined_guess.log,64,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run001_baseline,2026-09-12T11:41:48,1,sweep_logs_mamba/run001_baseline.log,64,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run002_freeze_encoder,2026-09-12T11:41:49,1,sweep_logs_mamba/run002_freeze_encoder.log,64,32,True,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run003_groups_undersampled,2026-09-12T11:41:50,1,sweep_logs_mamba/run003_groups_undersampled.log,32,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run004_groups_oversampled,2026-09-12T11:41:51,1,sweep_logs_mamba/run004_groups_oversampled.log,128,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run001_baseline,2026-09-12T11:42:11,1,sweep_logs_mamba/run001_baseline.log,64,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run001_baseline,2026-09-12T18:41:29,1,sweep_logs_mamba/run001_baseline.log,64,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run002_freeze_encoder,2026-09-12T18:41:30,1,sweep_logs_mamba/run002_freeze_encoder.log,64,32,True,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run003_groups_undersampled,2026-09-12T18:41:31,1,sweep_logs_mamba/run003_groups_undersampled.log,32,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run001_baseline,2026-09-12T19:18:04,1,sweep_logs_mamba/run001_baseline.log,64,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run002_freeze_encoder,2026-09-12T19:18:04,1,sweep_logs_mamba/run002_freeze_encoder.log,64,32,True,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run003_groups_undersampled,2026-09-12T19:18:05,1,sweep_logs_mamba/run003_groups_undersampled.log,32,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run001_baseline,2026-09-12T19:19:33,1,sweep_logs_mamba/run001_baseline.log,64,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run002_freeze_encoder,2026-09-12T19:19:34,1,sweep_logs_mamba/run002_freeze_encoder.log,64,32,True,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run003_groups_undersampled,2026-09-12T19:19:34,1,sweep_logs_mamba/run003_groups_undersampled.log,32,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run001_baseline,2026-09-12T19:22:56,1,sweep_logs_mamba/run001_baseline.log,64,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run002_freeze_encoder,2026-09-12T19:22:57,1,sweep_logs_mamba/run002_freeze_encoder.log,64,32,True,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run001_baseline,2026-09-12T19:27:31,1,sweep_logs_mamba/run001_baseline.log,64,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run001_baseline,2026-09-12T19:30:43,1,sweep_logs_mamba/run001_baseline.log,64,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run001_baseline,2026-09-12T19:41:09,1,sweep_logs_mamba/run001_baseline.log,64,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run002_freeze_encoder,2026-09-12T19:41:30,1,sweep_logs_mamba/run002_freeze_encoder.log,64,32,True,0.1,0.0001,0.05,0.8,70,512,12,1000,512
